id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
27445175,2019/06/22 9:45 AM EDT,2019-06-22,2019-06-22 13:45:00 UTC,Eastern Time (US & Canada),1336025,djweyer,2019-06-22 17:24:31 UTC,2019-06-26 11:46:56 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/27445175,https://inaturalist-open-data.s3.amazonaws.com/photos/42703670/medium.jpg?1561224240,,,,2,0,FALSE,,"Ashburn, VA, USA",39.0354591645,-77.4944956281,103,103,,open,FALSE,,,Red Fox,Vulpes vulpes,Red Fox,Mammalia,42069
27860805,2019/06/29 5:20 AM EDT,2019-06-29,2019-06-29 09:20:00 UTC,Eastern Time (US & Canada),1336025,djweyer,2019-06-29 11:17:04 UTC,2019-07-15 23:51:15 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/27860805,https://inaturalist-open-data.s3.amazonaws.com/photos/43392385/medium.jpg?1561806931,,,4 total together,2,0,FALSE,,"Ashburn, VA, USA",39.0258477847,-77.499528505,35,35,,open,FALSE,,,Red Fox,Vulpes vulpes,Red Fox,Mammalia,42069
32810485,Sun Sep 15 2019 17:11:51 GMT-0400 (EDT),2019-09-15,2019-09-15 21:11:51 UTC,Eastern Time (US & Canada),1586724,izafarr,2019-09-16 02:21:05 UTC,2019-09-20 01:02:59 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/32810485,https://inaturalist-open-data.s3.amazonaws.com/photos/51488489/medium.jpg?1568600466,,,Unusual coloration. ,1,0,FALSE,3,"Hamilton Station Rd, Hamilton, VA, US",39.1513706369,-77.643928693,59,59,,open,FALSE,,,Red Fox,Vulpes vulpes,Red Fox,Mammalia,42069
35594838,Thu May 16 2019 17:42:41 GMT-0400 (EDT),2019-05-16,2019-05-16 21:42:41 UTC,Eastern Time (US & Canada),2434224,shannonfrancis21,2019-11-12 02:32:40 UTC,2020-10-02 06:19:00 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/35594838,https://inaturalist-open-data.s3.amazonaws.com/photos/56144451/medium.jpg?1573525977,,,,3,0,FALSE,3,"Round Hill, VA, US",39.1251392926,-77.7562265124,23,23,,open,FALSE,,,Red Fox,Vulpes vulpes,Red Fox,Mammalia,42069
36860050,Sun Dec 22 2019 14:11:21 GMT-0500 (EST),2019-12-22,2019-12-22 19:11:21 UTC,Eastern Time (US & Canada),1570810,coraljade17,2019-12-22 19:12:50 UTC,2020-03-03 15:51:19 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/36860050,https://inaturalist-open-data.s3.amazonaws.com/photos/58336486/medium.jpg?1577041973,,,,2,0,FALSE,3,"Rubles Mill Ct, Ashburn, VA, US",39.0380155994,-77.4840496481,5,5,,open,FALSE,,,Red Fox,Vulpes vulpes,Red Fox,Mammalia,42069
37687986,2008/12/28 12:15 PM EST,2008-12-28,2008-12-28 17:15:00 UTC,Eastern Time (US & Canada),887197,jamesspitznas,2020-01-17 20:06:30 UTC,2020-01-23 00:24:20 UTC,research,,https://www.inaturalist.org/observations/37687986,https://static.inaturalist.org/photos/59798710/medium.jpg?1579291582,,"GoldFeatherPhoto, Wildlife",Red Fox,1,0,FALSE,,"Loudoun County, VA, USA",39.1700222222,-77.7275611111,,,,open,FALSE,,,Red Fox,Vulpes vulpes,Red Fox,Mammalia,42069
39528454,2017/05/21 4:30 PM EDT,2017-05-21,2017-05-21 20:30:00 UTC,Eastern Time (US & Canada),956921,mikehannisian,2020-03-04 13:40:52 UTC,2020-04-04 18:14:22 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/39528454,https://inaturalist-open-data.s3.amazonaws.com/photos/62723978/medium.jpg?1583329237,,,Alqonkian Nature Preserve,2,0,FALSE,,"Loudoun County, VA, USA",39.061495,-77.3735883333,,,,open,FALSE,,,liška obecná,Vulpes vulpes,Red Fox,Mammalia,42069
40895874,2020/03/28 10:15 AM EDT,2020-03-28,2020-03-28 14:15:00 UTC,Eastern Time (US & Canada),1336025,djweyer,2020-03-28 17:22:05 UTC,2020-07-31 21:29:48 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/40895874,https://inaturalist-open-data.s3.amazonaws.com/photos/64836218/medium.jpg?1585416084,,,,2,0,FALSE,,"Loudoun County, VA, USA",39.0721142339,-77.4501473231,31,31,,open,FALSE,,,Red Fox,Vulpes vulpes,Red Fox,Mammalia,42069
41441741,Wed Apr 01 2020 15:13:20 GMT-0400 (EDT),2020-04-01,2020-04-01 19:13:20 UTC,Eastern Time (US & Canada),2716002,elizabethk5,2020-04-05 14:08:36 UTC,2020-07-31 17:49:07 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/41441741,https://inaturalist-open-data.s3.amazonaws.com/photos/65744030/medium.jpg?1586095718,,,,2,0,FALSE,3,"Virginia, US",38.9146704452,-77.5065052779,357,28181,obscured,open,TRUE,,,Red Fox,Vulpes vulpes,Red Fox,Mammalia,42069
41679372,,,,UTC,2726902,andrea1441,2020-04-08 12:42:58 UTC,2020-04-10 14:58:26 UTC,casual,,https://www.inaturalist.org/observations/41679372,https://static.inaturalist.org/photos/66123787/medium.jpg?1586349781,,,,1,0,FALSE,2,"Leesburg, VA, USA",39.1156615851,-77.5636016205,8415,8415,,open,FALSE,gps,gps,Red Fox,Vulpes vulpes,Red Fox,Mammalia,42069
